id,name,department,description,tags,sns_link,application_period,application_form,booth_location
52,디프,예창분과,"패션디자인 동아리로 의류 제작, 패션 잡지 제작, 인스타 매거진 제작, 의류 페인팅, 신발 커스텀, 플리마켓 등 패션과 관련된 다양한 활동들을 하는 동아리이다.","패션, 디자인",https://www.instagram.com/diff_identity/,미공개,미공개,미공개
53,카페인,예창분과,"요리에 관심이 많은 다양한 학과의 동국대학교 학우들과 친목을 다지는 동아리이다.",요리,https://www.instagram.com/dg_cafein/,미공개,미공개,미공개
54,검도부,체육분과,"검도를 훈련하고 기술을 배우는 동아리이다",검도,https://www.instagram.com/dongguk_kendo_official/,미공개,미공개,미공개
55,기우회,체육분과,"바둑을 사랑하는 사람들이 모여 함께 실력을 쌓고 즐기는 곳이며 초보자도 친절하게 가르쳐주는 동아리이다.",바둑,https://www.instagram.com/dgu_badukclub/,미공개,미공개,미공개
56,명궁,체육분과,"한국의 전통 활쏘기 '국궁'을 좋아하는 학생들이 모여 교류하고 실력을 쌓는 국궁 동아리이다.","국궁, 활",https://www.instagram.com/mg_dgu/,미공개,미공개,미공개
57,선무부,체육분과,"선무(禪武)부는 태권도를 사랑하는 학생들이 모여 꾸준한 수련을 통해 신체적 능력과 정신적 수양을 함께 기를 수 있는 동아리이다.","태권도, 수련",https://www.instagram.com/sunmu_taekwondo/,미공개,미공개,미공개
58,코티스트,체육분과,"농구를 사랑하는 사람들이 모여 꿈과 팀워크를 키워가는 동국대학교 농구 동아리이다.","농구, 팀워크",https://www.instagram.com/dgu_courtist/,미공개,미공개,미공개
59,터스커스,체육분과,"동국대학교 유일 미식축구 & 플레그풋볼 동아리이다.","미식축구, 플레그풋볼, 팀워크",https://www.instagram.com/dongguk_tuskers/,미공개,미공개,미공개
60,DUTC,체육분과,"테니스에 관심있는 사람들이 모여 즐겁게 테니스를 하는 동아리이다.","테니스, 팀워크",https://www.instagram.com/dutc_seoul_1973/,미공개,미공개,미공개
61,"FC 엘레펜테",체육분과,"운동을 좋아하는 친구들이 모여 즐축·행축을 모토로 하는 동국대학교 여자축구 동아리이다.","축구, 팀워크, 여성",https://www.instagram.com/fc_elephente/,미공개,미공개,미공개
62,"FC 토토",체육분과,"축구를 좋아하는 열정 넘치는 부원들이 있는 유일 축구중앙 동아리이다.","축구, 팀워크",https://www.instagram.com/fctoto.dgu/,미공개,미공개,미공개
63,L.A.E,체육분과,"‘그깟 공놀이'에 울고 웃는 사람들의 모임, 중앙야구 동아리이다.","야구, 팀워크",https://www.instagram.com/dongguk_lae/,미공개,미공개,미공개
64,근끼리,체육분과,"헬스를 중심으로 다양한 운동을 다함께 즐길 수 있는 동아리이다.",헬스,https://www.instagram.com/dgu_geun_kkiri/,미공개,미공개,미공개
65,동배꽃,체육분과,"배구를 사랑하는 사람들이 모인 동국대 유일무이한 비체대 배구 중앙 동아리이다.","배구, 팀워크",https://www.instagram.com/dgu_dongbaeggot/,미공개,미공개,미공개
66,디콕,체육분과,"배드민턴을 좋아하는 사람들끼리 어울려 즐겁게 운동하는 것을 목표로 하는 중앙 동아리이다.","배드민턴, 팀워크",https://www.instagram.com/d_cock_official/,미공개,미공개,미공개
67,디파트,체육분과,"모든 수준의 러너가 참여할 수 있는 러닝 동아리로, 정규런과 마라톤 훈련을 진행하며 다양한 러닝 행사와 마라톤 대회에 출전한다.","러닝, 마라톤",https://www.instagram.com/dpart_dongguk/,미공개,미공개,미공개
68,동굴탐험연구회,체육분과,"미개방 동굴을 탐험하는 동아리이다.","동굴, 탐험",https://www.instagram.com/dongguk_univ_cavingclub/,미공개,미공개,미공개
69,무법,체육분과,"극진공수도를 중심으로 여러 무술들도 함께 수련할 수 있는 무술 전문 동아리이다.","무술, 수련",https://www.instagram.com/move_up_kyokushin/,미공개,미공개,미공개
70,바람소리,체육분과,"익사이팅 스포츠 패러글라이딩을 즐길 수 있는 동아리이다.","패러글라이딩, 익사이팅",https://www.instagram.com/dguwindsound/,미공개,미공개,미공개
71,산악부,체육분과,"종주, 암벽 등반, 빙벽 등반, 볼더링 등 산에 관한 다양한 활동을 하는 동아리이다.","등산, 암벽 등반",https://www.instagram.com/dgu_alpine/,미공개,미공개,미공개
72,수중탐험연구회,체육분과,"평소 접하기 힘든 스쿠버다이빙이라는 활동을 통해 바다를 탐험하는 동아리이다.","스쿠버다이빙, 바다",https://www.instagram.com/dgu_dudt/,미공개,미공개,미공개
73,스키부,체육분과,"DUST는 한국대학스키연맹 소속으로 겨울에 함께 합숙을 하며 스키 실력을 기르는 동아리이다.","스키, 합숙",https://www.instagram.com/dgu_skiii/,미공개,미공개,미공개
74,덕아웃,체육분과,"야구직관 동아리로서 야구를 사랑하는 학우들이 함께 모여 직관을 즐기고 소통하는 동아리이다.",야구직관,https://www.instagram.com/dugout_dgu/,미공개,미공개,미공개
75,니르바나,체육분과,"동국대학교 Esports & Game 중앙동아리로, ""Play your game""이라는 슬로건 아래 Esports & Game을 통해 학우들과 다방면으로 교류하고 폭넓은 경험을 제공한다.","게임, Esports",https://www.instagram.com/dongguk_nirvana/,미공개,미공개,미공개
76,RUBBER,체육분과,"탁구를 좋아하는 사람들이 함께 탁구를 즐기는 중앙 동아리이다.","탁구, 팀워크",https://www.instagram.com/dongguk_rubber/,미공개,미공개,미공개
